URL,Indexed,Coverage State,Verdict,Crawled As,Last Crawl Time,Error
"https://swimly.uk/features/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/blog/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/clubs/map/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/swimming-club-software/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/faq/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/swim-school-management/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/swim-team-management-software/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/swimming-management-software/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/swim-club-software/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/pilot/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/features/billing/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/features/compliance/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/compare/coacha/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/swim-england-api-guide-2026/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/how-to-migrate-swim-club-data-from-spreadsheets/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/what-i-wish-i-knew-before-my-kid-joined-competitive-swimming/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/first-county-championship-guide-for-swim-parents/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/painless-agm-guide/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/swimming-gala-entry-management-guide/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/complete-swim-club-agm-guide-2026/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/blog/county-championships-swim-parent-guide/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/blog/swim-club-spreadsheet-safeguarding-risk/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/blog/agm-survival-guide-swim-clubs/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/blog/county-championships-survival-guide/","No","Not found (404)","NEUTRAL","MOBILE","2026-03-15T18:28:09Z",""
"https://swimly.uk/blog/swimming-club-committee-handover-checklist/","No","Not found (404)","NEUTRAL","MOBILE","2026-03-15T22:42:47Z",""
"https://swimly.uk/blog/swimming-club-fundraising-ideas-complete-guide/","No","Not found (404)","NEUTRAL","MOBILE","2026-03-15T18:56:30Z",""
"https://swimly.uk/blog/swim-club-end-of-season-checklist/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/clubs/east-sussex/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/clubs/lincolnshire/","No","URL is unknown to Google","NEUTRAL","Unknown","",""
"https://swimly.uk/clubs/cheshire/","No","Crawled - currently not indexed","NEUTRAL","MOBILE","2026-03-06T22:32:59Z",""
"https://swimly.uk/clubs/south-yorkshire/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/clubs/staffordshire/","No","Discovered - currently not indexed","NEUTRAL","CRAWLING_USER_AGENT_UNSPECIFIED","",""
"https://swimly.uk/clubs/berkshire/slough-swimming-club/","No","Crawled - currently not indexed","NEUTRAL","MOBILE","2026-03-03T18:31:11Z",""
"https://swimly.uk/clubs/bristol/soundwell-sc/","No","Crawled - currently not indexed","NEUTRAL","MOBILE","2026-03-01T17:14:02Z",""
